id;bedrijfsnummer;document_nr_boekhoudingsdocument;boekjaar;documentsoort;documentdatum;boekingsdatum;boekmaand;invoerdag;invoertijd
1;mask;and yahoo ;guid;UITGAANDE_FACTUUR;2024-09-30T18:12:52;2024-09-30T21:12:44;JN;2024-10-01T00:07:00;2024-10-01T06:04:15
2;vaca;probe snoo;hypo;INKOMENDE_FACTUUR;2024-10-01T09:48:25;2024-10-01T05:44:42;OK;2024-09-30T18:03:13;2024-10-01T00:49:49
3;thig;hence;clos;UITGAANDE_FACTUUR;2024-10-01T00:17:11;2024-09-30T13:30:11;JA;2024-10-01T10:19:40;2024-09-30T17:36:00
4;quir;sleepily o;shyl;INKOMENDE_FACTUUR;2024-09-30T14:02:09;2024-09-30T18:33:45;AP;2024-10-01T06:57:30;2024-09-30T19:27:27
5;impa;nor;unto;INKOMENDE_FACTUUR;2024-10-01T08:04:40;2024-10-01T10:29:43;ME;2024-10-01T05:36:15;2024-09-30T16:04:08
6;muta;doubter;inco;UITGAANDE_FACTUUR;2024-10-01T11:30:19;2024-10-01T08:46:49;JN;2024-10-01T12:32:06;2024-09-30T19:11:47
7;joyf;following;hung;INKOMENDE_FACTUUR;2024-09-30T22:28:19;2024-10-01T11:02:44;JN;2024-09-30T20:57:05;2024-09-30T14:16:39
8;whol;furthermor;bah ;INKOMENDE_FACTUUR;2024-10-01T05:28:17;2024-10-01T12:14:23;JL;2024-10-01T07:13:01;2024-10-01T02:28:46
9;hotf;nor phooey;ouch;UITGAANDE_FACTUUR;2024-09-30T13:06:52;2024-10-01T07:19:55;SE;2024-09-30T23:08:33;2024-09-30T14:03:39
10;so d;guilty tru;why ;UITGAANDE_FACTUUR;2024-09-30T21:26:35;2024-09-30T14:03:37;DE;2024-09-30T18:31:45;2024-10-01T05:41:57
