id;bedrijfsnummer;document_nr_boekhoudingsdocument;boekjaar;boekingsregel_nr_boekhoudingsdocument;boekingsregel_identificatie;vereffeningsdatum;invoerdatum_vereffening;vereffeningsdocument_nr;boekingssleutel
1;hung;energetic ;unev;ste;j;2024-10-01T10:01:51;2024-09-30T21:22:30;tenderly;ex
2;tous;healthily ;excl;hyd;g;2024-10-01T07:38:01;2024-09-30T13:37:53;abaft;vi
3;alth;by joviall;ruin;tha;g;2024-09-30T14:48:24;2024-09-30T23:44:16;coaxingly ;be
4;over;huzzah pul;liga;nut;y;2024-10-01T06:28:50;2024-09-30T13:05:40;westernise;hm
5;fat ;unwelcome ;shor;brr;s;2024-10-01T03:27:59;2024-09-30T23:21:38;as;of
6;if a;wherever;demo;utt;a;2024-09-30T18:37:56;2024-09-30T15:09:13;hunt whose;ze
7;adve;appreciate;yum;gee;f;2024-09-30T20:51:44;2024-10-01T07:39:20;within pho;to
8;howe;fairly del;co-p;vas;n;2024-09-30T15:09:25;2024-09-30T17:57:04;ha followi;so
9;pigp;meanwhile;radi;inv;a;2024-09-30T23:22:02;2024-09-30T19:42:24;clinking b;ba
10;posi;madly;mmm ;gos;h;2024-10-01T06:56:52;2024-10-01T03:39:21;phew gosh ;ca
